num_lectures,price,days_since_published,content_duration
15,0,2674,2.5
9,25,2034,1.0
9,20,2258,1.0
15,200,1785,0.7333333333333333
21,55,2020,1.0
18,40,2502,2.5
18,50,1809,2.0
19,200,1940,1.5
211,200,2415,19.5
67,195,2285,7.0
49,60,2161,3.0
64,50,2038,4.5
74,25,2432,14.0
36,0,1757,5.0
34,25,2244,4.0
8,20,1674,0.5833333333333334
10,40,1978,0.6166666666666667
15,50,1964,0.6666666666666666
96,150,2222,11.0
115,100,1913,11.5
71,50,2923,1.5
126,50,2648,7.5
35,50,2320,2.0
7,50,2096,1.0
60,40,1989,2.0
19,200,1733,2.0
94,50,2160,13.0
33,20,2167,2.0
21,150,1806,2.0
30,145,2382,1.5
23,0,1772,2.0
43,30,1835,2.5
15,45,2173,2.0
72,200,2082,5.5
12,0,2520,1.0
32,20,2415,1.5
21,200,2075,2.0
18,20,2357,1.5
29,105,2682,2.5
27,45,1703,3.5
87,50,3110,47.0
